City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,de aar,-30.6497,24.0123,22.02,57,42,1.69,ZA,1741065177
252,savannakhet,16.566,104.751,37.65,30,27,4.46,LA,1741065178
253,maintirano,-18.0667,44.0167,26.42,83,46,2.54,MG,1741065179
254,lamu,-2.2717,40.902,26.67,74,72,3.59,KE,1741065180
255,antofagasta,-23.65,-70.4,17.6,81,69,1.82,CL,1741065135
256,leava,-14.3,-178.1667,27.92,81,100,8.52,WF,1741065182
257,vilhena,-12.7406,-60.1458,20.48,98,100,1.08,BR,1741065038
258,kwakoa,-3.7667,37.7167,22.31,80,66,1.4,TZ,1741065184
259,zhongxiang,31.1661,112.5831,1.51,98,100,3.09,CN,1741065186
260,chichimila,20.6167,-88.2167,20.76,91,1,1.44,MX,1741065187
261,jamaame,0.0697,42.745,27.63,69,25,5.14,SO,1741065188
262,laboulaye,-34.1266,-63.3912,23.74,96,50,3.44,AR,1741065189
263,fortuna,40.5982,-124.1573,8.53,95,100,0.0,US,1741065190
264,ta`u,-14.2336,-169.5144,27.39,78,100,4.01,AS,1741065191
265,east ballina,-28.8667,153.5833,25.13,64,91,8.71,AU,1741065192
266,ataq,14.5377,46.8319,19.68,58,0,5.59,YE,1741065193
267,suntar,62.1444,117.6319,-25.89,88,87,0.6,RU,1741065194
268,lompoc,34.6391,-120.4579,10.4,82,0,7.15,US,1741065195
269,mhamid,29.82,-5.72,15.08,41,1,2.97,MA,1741065197
270,mpika,-11.8343,31.4529,17.08,97,99,1.44,ZM,1741065198
271,khorixas,-20.3667,14.9667,20.81,61,99,0.44,NA,1741065199
272,wewak,-3.5534,143.6268,30.46,68,68,4.48,PG,1741065075
273,al bayda',32.7627,21.7551,9.07,89,56,5.71,LY,1741065201
274,khash,28.2211,61.2158,7.51,24,2,2.6,IR,1741065120
275,vylkove,45.4021,29.586,2.08,81,55,3.11,UA,1741065203
276,el calafate,-50.3408,-72.2768,7.83,73,81,1.87,AR,1741065205
277,vallenar,-28.5708,-70.7581,20.33,64,0,1.71,CL,1741065207
278,suleja,9.1758,7.1808,24.67,50,78,1.2,NG,1741065208
279,nemuro,43.3236,145.575,-2.98,47,70,9.42,JP,1741065209
280,zaragoza,41.6561,-0.8773,9.33,86,100,1.03,ES,1741065210
281,muynoq,43.7683,59.0214,-5.58,66,86,4.41,UZ,1741065211
282,qashyr,53.0675,76.1036,-5.91,93,100,4.16,KZ,1741065212
283,verkhnyaya sinyachikha,57.976,61.6673,-6.96,89,100,1.63,RU,1741065213
284,tanumah,27.1,44.1333,14.88,27,100,9.16,SA,1741065214
285,gannan,47.9147,123.5031,-4.67,69,100,1.79,CN,1741065215
286,ubari,26.5921,12.7805,11.56,57,52,3.3,LY,1741065216
287,camiri,-20.05,-63.5167,19.58,97,89,0.6,BO,1741065217
288,estepona,36.4276,-5.1459,13.12,86,47,3.24,ES,1741065218
289,namsos,64.4662,11.4957,1.95,80,75,4.12,NO,1741065219
290,debre birhan,9.6833,39.5333,13.84,44,21,2.12,ET,1741065221
